,Card1,Card2,Probability
240,6H,TC,0.202
241,6H,JC,0.205
242,6H,QC,0.23
243,6H,KC,0.264
244,6H,AC,0.282
245,7H,8H,0.262
246,7H,9H,0.268
247,7H,TH,0.277
248,7H,JH,0.273
249,7H,QH,0.269
250,7H,KH,0.304
251,7H,AH,0.322
252,7H,2D,0.137
253,7H,3D,0.155
254,7H,4D,0.18
255,7H,5D,0.185
256,7H,6D,0.211
257,7H,7D,0.322
258,7H,8D,0.234
259,7H,9D,0.209
260,7H,TD,0.221
261,7H,JD,0.244
262,7H,QD,0.242
263,7H,KD,0.256
264,7H,AD,0.299
265,7H,2S,0.145
266,7H,3S,0.165
267,7H,4S,0.174
268,7H,5S,0.177
269,7H,6S,0.189
270,7H,7S,0.333
271,7H,8S,0.216
272,7H,9S,0.257
273,7H,TS,0.244
274,7H,JS,0.233
275,7H,QS,0.246
276,7H,KS,0.299
277,7H,AS,0.298
278,7H,2C,0.123
279,7H,3C,0.157
280,7H,4C,0.162
281,7H,5C,0.195
282,7H,6C,0.212
283,7H,7C,0.334
284,7H,8C,0.239
285,7H,9C,0.263
286,7H,TC,0.236
287,7H,JC,0.252
288,7H,QC,0.254
289,7H,KC,0.301
290,7H,AC,0.293
291,8H,9H,0.283
292,8H,TH,0.301
293,8H,JH,0.289
294,8H,QH,0.319
295,8H,KH,0.325
296,8H,AH,0.341
297,8H,2D,0.137
298,8H,3D,0.147
299,8H,4D,0.164
300,8H,5D,0.198
301,8H,6D,0.23
302,8H,7D,0.228
303,8H,8D,0.387
304,8H,9D,0.266
305,8H,TD,0.259
306,8H,JD,0.293
307,8H,QD,0.255
308,8H,KD,0.285
309,8H,AD,0.329
310,8H,2S,0.165
311,8H,3S,0.157
312,8H,4S,0.169
313,8H,5S,0.181
314,8H,6S,0.222
315,8H,7S,0.22
316,8H,8S,0.399
317,8H,9S,0.261
318,8H,TS,0.263
319,8H,JS,0.278
320,8H,QS,0.276
321,8H,KS,0.299
322,8H,AS,0.31
323,8H,2C,0.13
324,8H,3C,0.147
325,8H,4C,0.164
326,8H,5C,0.198
327,8H,6C,0.199
328,8H,7C,0.243
329,8H,8C,0.353
330,8H,9C,0.268
331,8H,TC,0.274
332,8H,JC,0.28
333,8H,QC,0.281
334,8H,KC,0.278
335,8H,AC,0.337
336,9H,TH,0.309
337,9H,JH,0.337
338,9H,QH,0.328
339,9H,KH,0.356
340,9H,AH,0.373
341,9H,2D,0.163
342,9H,3D,0.181
343,9H,4D,0.159
344,9H,5D,0.206
345,9H,6D,0.23
346,9H,7D,0.241
347,9H,8D,0.25
348,9H,9D,0.427
349,9H,TD,0.271
350,9H,JD,0.295
351,9H,QD,0.303
352,9H,KD,0.295
353,9H,AD,0.351
354,9H,2S,0.138
355,9H,3S,0.165
356,9H,4S,0.167
357,9H,5S,0.169
358,9H,6S,0.205
359,9H,7S,0.243
360,9H,8S,0.272
361,9H,9S,0.427
362,9H,TS,0.291
363,9H,JS,0.284
364,9H,QS,0.284
365,9H,KS,0.304
366,9H,AS,0.34
367,9H,2C,0.147
368,9H,3C,0.164
369,9H,4C,0.175
370,9H,5C,0.211
371,9H,6C,0.223
372,9H,7C,0.235
373,9H,8C,0.272
374,9H,9C,0.405
375,9H,TC,0.289
376,9H,JC,0.302
377,9H,QC,0.307
378,9H,KC,0.289
379,9H,AC,0.316
380,TH,JH,0.38
381,TH,QH,0.409
382,TH,KH,0.365
383,TH,AH,0.364
384,TH,2D,0.176
385,TH,3D,0.182
386,TH,4D,0.184
387,TH,5D,0.193
388,TH,6D,0.218
389,TH,7D,0.228
390,TH,8D,0.271
391,TH,9D,0.302
392,TH,TD,0.439
393,TH,JD,0.334
394,TH,QD,0.346
395,TH,KD,0.329
396,TH,AD,0.371
397,TH,2S,0.169
398,TH,3S,0.186
399,TH,4S,0.174
400,TH,5S,0.187
401,TH,6S,0.227
402,TH,7S,0.269
403,TH,8S,0.273
404,TH,9S,0.281
405,TH,TS,0.473
406,TH,JS,0.289
407,TH,QS,0.343
408,TH,KS,0.352
409,TH,AS,0.356
410,TH,2C,0.158
411,TH,3C,0.193
412,TH,4C,0.184
413,TH,5C,0.18
414,TH,6C,0.231
415,TH,7C,0.242
416,TH,8C,0.271
417,TH,9C,0.292
418,TH,TC,0.481
419,TH,JC,0.322
420,TH,QC,0.337
421,TH,KC,0.338
422,TH,AC,0.36
423,JH,QH,0.356
424,JH,KH,0.352
425,JH,AH,0.412
426,JH,2D,0.184
427,JH,3D,0.175
428,JH,4D,0.214
429,JH,5D,0.226
430,JH,6D,0.225
431,JH,7D,0.252
432,JH,8D,0.266
433,JH,9D,0.264
434,JH,TD,0.325
435,JH,JD,0.532
436,JH,QD,0.344
437,JH,KD,0.385
438,JH,AD,0.39
439,JH,2S,0.174
440,JH,3S,0.164
441,JH,4S,0.177
442,JH,5S,0.226
443,JH,6S,0.202
444,JH,7S,0.262
445,JH,8S,0.264
446,JH,9S,0.287
447,JH,TS,0.319
448,JH,JS,0.499
449,JH,QS,0.315
450,JH,KS,0.356
451,JH,AS,0.377
452,JH,2C,0.177
453,JH,3C,0.18
454,JH,4C,0.207
455,JH,5C,0.209
456,JH,6C,0.21
457,JH,7C,0.238
458,JH,8C,0.282
459,JH,9C,0.292
460,JH,TC,0.286
461,JH,JC,0.519
462,JH,QC,0.322
463,JH,KC,0.382
464,JH,AC,0.362
465,QH,KH,0.405
466,QH,AH,0.434
467,QH,2D,0.198
468,QH,3D,0.204
469,QH,4D,0.237
470,QH,5D,0.207
471,QH,6D,0.25
472,QH,7D,0.255
473,QH,8D,0.264
474,QH,9D,0.293
475,QH,TD,0.333
476,QH,JD,0.353
477,QH,QD,0.538
478,QH,KD,0.375
479,QH,AD,0.378
480,QH,2S,0.185
481,QH,3S,0.203
482,QH,4S,0.209
483,QH,5S,0.249
484,QH,6S,0.24
485,QH,7S,0.242
486,QH,8S,0.27
487,QH,9S,0.293
488,QH,TS,0.331
489,QH,JS,0.349
490,QH,QS,0.504
491,QH,KS,0.328
492,QH,AS,0.382
493,QH,2C,0.2
494,QH,3C,0.213
495,QH,4C,0.215
496,QH,5C,0.231
497,QH,6C,0.237
498,QH,7C,0.256
499,QH,8C,0.272
500,QH,9C,0.304
501,QH,TC,0.321
502,QH,JC,0.316
503,QH,QC,0.532
504,QH,KC,0.349
505,QH,AC,0.359
506,KH,AH,0.444
507,KH,2D,0.217
508,KH,3D,0.235
509,KH,4D,0.247
510,KH,5D,0.252
511,KH,6D,0.258
512,KH,7D,0.267
513,KH,8D,0.267
514,KH,9D,0.309
515,KH,TD,0.368
516,KH,JD,0.346
517,KH,QD,0.349
518,KH,KD,0.582
519,KH,AD,0.351
520,KH,2S,0.231
521,KH,3S,0.232
522,KH,4S,0.238
523,KH,5S,0.234
524,KH,6S,0.25
525,KH,7S,0.27
526,KH,8S,0.268
527,KH,9S,0.316
528,KH,TS,0.337
529,KH,JS,0.358
530,KH,QS,0.362
531,KH,KS,0.606
532,KH,AS,0.375
533,KH,2C,0.215
534,KH,3C,0.22
535,KH,4C,0.222
536,KH,5C,0.274
537,KH,6C,0.283
538,KH,7C,0.267
539,KH,8C,0.286
540,KH,9C,0.292
541,KH,TC,0.312
542,KH,JC,0.374
543,KH,QC,0.391
544,KH,KC,0.601
545,KH,AC,0.409
546,AH,2D,0.258
547,AH,3D,0.249
548,AH,4D,0.273
549,AH,5D,0.269
550,AH,6D,0.276
551,AH,7D,0.295
552,AH,8D,0.328
553,AH,9D,0.314
554,AH,TD,0.363
555,AH,JD,0.365
556,AH,QD,0.363
557,AH,KD,0.428
558,AH,AD,0.649
559,AH,2S,0.231
560,AH,3S,0.263
561,AH,4S,0.253
562,AH,5S,0.286
563,AH,6S,0.284
564,AH,7S,0.304
565,AH,8S,0.312
566,AH,9S,0.312
567,AH,TS,0.336
568,AH,JS,0.384
569,AH,QS,0.366
570,AH,KS,0.426
571,AH,AS,0.658
572,AH,2C,0.263
573,AH,3C,0.233
574,AH,4C,0.277
575,AH,5C,0.262
576,AH,6C,0.276
577,AH,7C,0.31
578,AH,8C,0.309
579,AH,9C,0.324
580,AH,TC,0.351
581,AH,JC,0.403
582,AH,QC,0.403
583,AH,KC,0.406
584,AH,AC,0.635
585,2D,3D,0.176
586,2D,4D,0.158
587,2D,5D,0.183
588,2D,6D,0.187
589,2D,7D,0.165
590,2D,8D,0.17
591,2D,9D,0.18
592,2D,TD,0.179
593,2D,JD,0.215
594,2D,QD,0.254
595,2D,KD,0.246
596,2D,AD,0.295
597,2D,2S,0.237
598,2D,3S,0.122
599,2D,4S,0.118
600,2D,5S,0.149
601,2D,6S,0.146
602,2D,7S,0.134
603,2D,8S,0.148
604,2D,9S,0.152
605,2D,TS,0.175
606,2D,JS,0.189
607,2D,QS,0.182
608,2D,KS,0.226
609,2D,AS,0.259
610,2D,2C,0.218
611,2D,3C,0.123
612,2D,4C,0.112
613,2D,5C,0.133
614,2D,6C,0.139
615,2D,7C,0.143
616,2D,8C,0.135
617,2D,9C,0.151
618,2D,TC,0.185
619,2D,JC,0.196
620,2D,QC,0.197
621,2D,KC,0.199
622,2D,AC,0.261
623,3D,4D,0.183
624,3D,5D,0.198
625,3D,6D,0.206
626,3D,7D,0.2
627,3D,8D,0.193
628,3D,9D,0.214
629,3D,TD,0.246
630,3D,JD,0.222
631,3D,QD,0.239
632,3D,KD,0.257
633,3D,AD,0.291
634,3D,2S,0.118
635,3D,3S,0.248
636,3D,4S,0.133
637,3D,5S,0.146
638,3D,6S,0.177
639,3D,7S,0.145
640,3D,8S,0.145
641,3D,9S,0.159
642,3D,TS,0.192
643,3D,JS,0.186
644,3D,QS,0.205
645,3D,KS,0.226
646,3D,AS,0.248
647,3D,2C,0.121
648,3D,3C,0.217
649,3D,4C,0.134
650,3D,5C,0.161
651,3D,6C,0.163
652,3D,7C,0.157
653,3D,8C,0.166
654,3D,9C,0.149
655,3D,TC,0.189
656,3D,JC,0.169
657,3D,QC,0.188
658,3D,KC,0.211
659,3D,AC,0.26
660,4D,5D,0.211
661,4D,6D,0.228
662,4D,7D,0.211
663,4D,8D,0.238
664,4D,9D,0.207
665,4D,TD,0.242
666,4D,JD,0.245
667,4D,QD,0.262
668,4D,KD,0.281
669,4D,AD,0.318
670,4D,2S,0.142
671,4D,3S,0.14
672,4D,4S,0.251
673,4D,5S,0.188
674,4D,6S,0.194
675,4D,7S,0.171
676,4D,8S,0.166
677,4D,9S,0.174
678,4D,TS,0.195
679,4D,JS,0.195
680,4D,QS,0.211
681,4D,KS,0.232
682,4D,AS,0.246
683,4D,2C,0.125
684,4D,3C,0.132
685,4D,4C,0.263
686,4D,5C,0.162
687,4D,6C,0.203
688,4D,7C,0.169
689,4D,8C,0.183
690,4D,9C,0.159
691,4D,TC,0.198
692,4D,JC,0.198
693,4D,QC,0.221
694,4D,KC,0.244
695,4D,AC,0.292
696,5D,6D,0.245
697,5D,7D,0.227
698,5D,8D,0.232
699,5D,9D,0.237
700,5D,TD,0.223
701,5D,JD,0.255
702,5D,QD,0.274
703,5D,KD,0.31
704,5D,AD,0.29
705,5D,2S,0.135
706,5D,3S,0.175
707,5D,4S,0.166
708,5D,5S,0.27
709,5D,6S,0.204
710,5D,7S,0.193
711,5D,8S,0.197
712,5D,9S,0.199
713,5D,TS,0.184
714,5D,JS,0.223
715,5D,QS,0.22
716,5D,KS,0.236
717,5D,AS,0.278
718,5D,2C,0.126
719,5D,3C,0.142
720,5D,4C,0.175
721,5D,5C,0.29
722,5D,6C,0.199
723,5D,7C,0.198
724,5D,8C,0.201
725,5D,9C,0.207
726,5D,TC,0.184
727,5D,JC,0.237
728,5D,QC,0.239
729,5D,KC,0.232
730,5D,AC,0.275
731,6D,7D,0.257
732,6D,8D,0.251
733,6D,9D,0.255
734,6D,TD,0.243
735,6D,JD,0.226
736,6D,QD,0.291
737,6D,KD,0.278
738,6D,AD,0.35
739,6D,2S,0.152
740,6D,3S,0.164
741,6D,4S,0.178
742,6D,5S,0.181
743,6D,6S,0.292
744,6D,7S,0.217
745,6D,8S,0.201
746,6D,9S,0.211
747,6D,TS,0.216
748,6D,JS,0.248
749,6D,QS,0.244
750,6D,KS,0.261
751,6D,AS,0.297
752,6D,2C,0.13
753,6D,3C,0.157
754,6D,4C,0.184
755,6D,5C,0.205
756,6D,6C,0.295
757,6D,7C,0.209
758,6D,8C,0.232
759,6D,9C,0.202
760,6D,TC,0.219
761,6D,JC,0.228
762,6D,QC,0.253
763,6D,KC,0.27
764,6D,AC,0.315
765,7D,8D,0.267
766,7D,9D,0.275
767,7D,TD,0.296
768,7D,JD,0.302
769,7D,QD,0.289
770,7D,KD,0.306
771,7D,AD,0.331
772,7D,2S,0.135
773,7D,3S,0.136
774,7D,4S,0.174
775,7D,5S,0.203
776,7D,6S,0.234
777,7D,7S,0.338
778,7D,8S,0.234
779,7D,9S,0.239
780,7D,TS,0.207
781,7D,JS,0.239
782,7D,QS,0.236
783,7D,KS,0.272
784,7D,AS,0.259
785,7D,2C,0.138
786,7D,3C,0.154
787,7D,4C,0.197
788,7D,5C,0.194
789,7D,6C,0.198
790,7D,7C,0.35
791,7D,8C,0.24
792,7D,9C,0.232
793,7D,TC,0.245
794,7D,JC,0.254
795,7D,QC,0.263
796,7D,KC,0.279
797,7D,AC,0.301
798,8D,9D,0.29
799,8D,TD,0.297
800,8D,JD,0.316
801,8D,QD,0.294
802,8D,KD,0.324
803,8D,AD,0.375
804,8D,2S,0.149
805,8D,3S,0.148
806,8D,4S,0.184
807,8D,5S,0.21
808,8D,6S,0.214
809,8D,7S,0.242
810,8D,8S,0.371
811,8D,9S,0.254
812,8D,TS,0.259
813,8D,JS,0.264
814,8D,QS,0.261
815,8D,KS,0.279
816,8D,AS,0.316
817,8D,2C,0.135
818,8D,3C,0.154
819,8D,4C,0.18
820,8D,5C,0.188
821,8D,6C,0.193
822,8D,7C,0.249
823,8D,8C,0.38
824,8D,9C,0.246
825,8D,TC,0.285
826,8D,JC,0.267
827,8D,QC,0.247
828,8D,KC,0.29
829,8D,AC,0.307
830,9D,TD,0.323
831,9D,JD,0.346
832,9D,QD,0.322
833,9D,KD,0.36
834,9D,AD,0.36
835,9D,2S,0.15
836,9D,3S,0.175
837,9D,4S,0.161
838,9D,5S,0.191
839,9D,6S,0.228
840,9D,7S,0.228
841,9D,8S,0.257
842,9D,9S,0.44
843,9D,TS,0.278
844,9D,JS,0.282
845,9D,QS,0.284
846,9D,KS,0.286
847,9D,AS,0.326
848,9D,2C,0.159
849,9D,3C,0.168
850,9D,4C,0.192
851,9D,5C,0.211
852,9D,6C,0.201
853,9D,7C,0.229
854,9D,8C,0.267
855,9D,9C,0.407
856,9D,TC,0.282
857,9D,JC,0.278
858,9D,QC,0.281
859,9D,KC,0.336
860,9D,AC,0.331
861,TD,JD,0.336
862,TD,QD,0.324
863,TD,KD,0.368
864,TD,AD,0.394
865,TD,2S,0.162
866,TD,3S,0.176
867,TD,4S,0.188
868,TD,5S,0.181
869,TD,6S,0.195
870,TD,7S,0.215
871,TD,8S,0.259
872,TD,9S,0.279
873,TD,TS,0.465
874,TD,JS,0.321
875,TD,QS,0.298
876,TD,KS,0.318
877,TD,AS,0.348
878,TD,2C,0.161
879,TD,3C,0.167
880,TD,4C,0.206
881,TD,5C,0.204
882,TD,6C,0.197
883,TD,7C,0.24
884,TD,8C,0.255
885,TD,9C,0.262
886,TD,TC,0.449
887,TD,JC,0.322
888,TD,QC,0.325
889,TD,KC,0.336
890,TD,AC,0.362
891,JD,QD,0.36
892,JD,KD,0.402
893,JD,AD,0.405
894,JD,2S,0.177
895,JD,3S,0.195
896,JD,4S,0.185
897,JD,5S,0.228
898,JD,6S,0.211
899,JD,7S,0.224
900,JD,8S,0.251
901,JD,9S,0.302
902,JD,TS,0.328
903,JD,JS,0.493
904,JD,QS,0.32
905,JD,KS,0.344
906,JD,AS,0.353
907,JD,2C,0.195
908,JD,3C,0.182
909,JD,4C,0.19
910,JD,5C,0.21
911,JD,6C,0.232
912,JD,7C,0.27
913,JD,8C,0.267
914,JD,9C,0.301
915,JD,TC,0.311
916,JD,JC,0.482
917,JD,QC,0.331
918,JD,KC,0.376
919,JD,AC,0.373
920,QD,KD,0.394
921,QD,AD,0.41
922,QD,2S,0.19
923,QD,3S,0.198
924,QD,4S,0.213
925,QD,5S,0.234
926,QD,6S,0.235
927,QD,7S,0.238
928,QD,8S,0.278
929,QD,9S,0.305
930,QD,TS,0.354
931,QD,JS,0.351
932,QD,QS,0.583
933,QD,KS,0.384
934,QD,AS,0.389
935,QD,2C,0.201
936,QD,3C,0.212
937,QD,4C,0.214
938,QD,5C,0.205
939,QD,6C,0.238
940,QD,7C,0.268
941,QD,8C,0.261
942,QD,9C,0.296
943,QD,TC,0.315
944,QD,JC,0.342
945,QD,QC,0.525
946,QD,KC,0.376
947,QD,AC,0.404
948,KD,AD,0.442
949,KD,2S,0.21
950,KD,3S,0.245
951,KD,4S,0.253
952,KD,5S,0.259
953,KD,6S,0.268
954,KD,7S,0.293
955,KD,8S,0.263
956,KD,9S,0.346
957,KD,TS,0.323
958,KD,JS,0.357
959,KD,QS,0.36
960,KD,KS,0.583
961,KD,AS,0.386
962,KD,2C,0.272
963,KD,3C,0.213
964,KD,4C,0.236
965,KD,5C,0.26
966,KD,6C,0.258
967,KD,7C,0.271
968,KD,8C,0.285
969,KD,9C,0.293
970,KD,TC,0.363
971,KD,JC,0.373
972,KD,QC,0.38
973,KD,KC,0.562
974,KD,AC,0.426
975,AD,2S,0.256
976,AD,3S,0.263
977,AD,4S,0.269
978,AD,5S,0.284
979,AD,6S,0.284
980,AD,7S,0.308
981,AD,8S,0.287
982,AD,9S,0.328
983,AD,TS,0.353
984,AD,JS,0.379
985,AD,QS,0.364
986,AD,KS,0.389
987,AD,AS,0.65
988,AD,2C,0.252
989,AD,3C,0.26
990,AD,4C,0.265
991,AD,5C,0.272
992,AD,6C,0.288
993,AD,7C,0.293
994,AD,8C,0.32
995,AD,9C,0.333
996,AD,TC,0.366
997,AD,JC,0.391
998,AD,QC,0.385
999,AD,KC,0.393
1000,AD,AC,0.649
1001,2S,3S,0.168
1002,2S,4S,0.171
1003,2S,5S,0.195
1004,2S,6S,0.172
1005,2S,7S,0.169
1006,2S,8S,0.196
1007,2S,9S,0.193
1008,2S,TS,0.209
1009,2S,JS,0.219
1010,2S,QS,0.252
1011,2S,KS,0.241
1012,2S,AS,0.3
1013,2S,2C,0.245
1014,2S,3C,0.115
1015,2S,4C,0.127
1016,2S,5C,0.12
1017,2S,6C,0.125
1018,2S,7C,0.126
1019,2S,8C,0.143
1020,2S,9C,0.156
1021,2S,TC,0.156
1022,2S,JC,0.185
1023,2S,QC,0.203
1024,2S,KC,0.19
1025,2S,AC,0.241
1026,3S,4S,0.18
1027,3S,5S,0.195
1028,3S,6S,0.208
1029,3S,7S,0.206
1030,3S,8S,0.186
1031,3S,9S,0.21
1032,3S,TS,0.201
1033,3S,JS,0.236
1034,3S,QS,0.26
1035,3S,KS,0.249
1036,3S,AS,0.325
1037,3S,2C,0.107
1038,3S,3C,0.228
1039,3S,4C,0.143
1040,3S,5C,0.18
1041,3S,6C,0.141
1042,3S,7C,0.163
1043,3S,8C,0.137
1044,3S,9C,0.172
1045,3S,TC,0.175
1046,3S,JC,0.194
1047,3S,QC,0.208
1048,3S,KC,0.218
1049,3S,AC,0.278
1050,4S,5S,0.203
1051,4S,6S,0.218
1052,4S,7S,0.211
1053,4S,8S,0.199
1054,4S,9S,0.221
1055,4S,TS,0.226
1056,4S,JS,0.225
1057,4S,QS,0.252
1058,4S,KS,0.281
1059,4S,AS,0.316
1060,4S,2C,0.146
1061,4S,3C,0.149
1062,4S,4C,0.258
1063,4S,5C,0.184
1064,4S,6C,0.195
1065,4S,7C,0.166
1066,4S,8C,0.168
1067,4S,9C,0.157
1068,4S,TC,0.193
1069,4S,JC,0.209
1070,4S,QC,0.215
1071,4S,KC,0.244
1072,4S,AC,0.274
1073,5S,6S,0.251
1074,5S,7S,0.229
1075,5S,8S,0.211
1076,5S,9S,0.247
1077,5S,TS,0.218
1078,5S,JS,0.274
1079,5S,QS,0.279
1080,5S,KS,0.27
1081,5S,AS,0.289
1082,5S,2C,0.135
1083,5S,3C,0.145
1084,5S,4C,0.184
1085,5S,5C,0.297
1086,5S,6C,0.202
1087,5S,7C,0.2
1088,5S,8C,0.201
1089,5S,9C,0.181
1090,5S,TC,0.199
1091,5S,JC,0.189
1092,5S,QC,0.244
1093,5S,KC,0.251
1094,5S,AC,0.265
1095,6S,7S,0.257
1096,6S,8S,0.276
1097,6S,9S,0.256
1098,6S,TS,0.249
1099,6S,JS,0.252
1100,6S,QS,0.289
1101,6S,KS,0.31
1102,6S,AS,0.333
1103,6S,2C,0.159
1104,6S,3C,0.152
1105,6S,4C,0.186
1106,6S,5C,0.191
1107,6S,6C,0.317
1108,6S,7C,0.207
1109,6S,8C,0.217
1110,6S,9C,0.218
1111,6S,TC,0.206
1112,6S,JC,0.229
1113,6S,QC,0.253
1114,6S,KC,0.25
1115,6S,AC,0.311
1116,7S,8S,0.295
1117,7S,9S,0.255
1118,7S,TS,0.268
1119,7S,JS,0.307
1120,7S,QS,0.31
1121,7S,KS,0.306
1122,7S,AS,0.337
1123,7S,2C,0.137
1124,7S,3C,0.138
1125,7S,4C,0.175
1126,7S,5C,0.173
1127,7S,6C,0.233
1128,7S,7C,0.325
1129,7S,8C,0.239
1130,7S,9C,0.23
1131,7S,TC,0.251
1132,7S,JC,0.251
1133,7S,QC,0.261
1134,7S,KC,0.285
1135,7S,AC,0.295
1136,8S,9S,0.299
1137,8S,TS,0.306
1138,8S,JS,0.295
1139,8S,QS,0.295
1140,8S,KS,0.299
1141,8S,AS,0.345
1142,8S,2C,0.145
1143,8S,3C,0.15
1144,8S,4C,0.184
1145,8S,5C,0.18
1146,8S,6C,0.204
1147,8S,7C,0.203
1148,8S,8C,0.396
1149,8S,9C,0.274
1150,8S,TC,0.24
